id,temperature,humidty,light,voltage,peak_day,lifespan
75,19.7336,39.4842,97.52,2.65143,2,1
76,19.7238,39.4502,97.52,2.65143,2,1
77,19.7336,39.3823,97.52,2.63964,2,1
78,19.714,39.3483,97.52,2.65143,2,1
79,19.7336,39.3483,97.52,2.65143,2,1
80,19.7434,39.3143,97.52,2.65143,2,1
81,19.5964,50.5463,39.56,2.33827,2,1
82,17.803,41.7805,90.16,2.66332,2,1
83,17.1856,43.4524,90.16,2.66332,2,1
84,17.117,43.7851,90.16,2.66332,2,1
85,17.0484,43.8515,93.84,2.66332,2,1
86,17.0484,43.8848,93.84,2.66332,2,1
87,17.0484,43.8515,0.46,2.67532,2,1
88,17.019,43.8515,0.46,2.66332,2,1
89,16.921,44.0508,0.46,2.66332,2,1
90,16.872,44.2831,0.46,2.67532,3,1
91,16.6368,44.846,0.46,2.66332,3,1
92,16.6074,44.9121,0.46,2.65143,3,1
93,16.578,44.879,0.46,2.65143,3,1
94,16.4506,45.1763,0.46,2.66332,3,1
95,16.4114,45.3743,0.46,2.66332,3,1
96,16.382,45.3413,0.46,2.65143,3,1
97,16.3624,45.5061,0.46,2.66332,3,1
98,16.3134,45.4402,0.46,2.66332,3,1
99,16.2742,45.572,0.46,2.65143,3,1
100,122.153,41.8476,57.04,2.25825,3,1
101,122.153,41.6125,150.88,2.24121,3,1
102,122.153,42.183,158.24,2.24121,3,1
103,17.8422,43.6188,128.8,2.65143,3,1
104,17.852,43.519,128.8,2.65143,3,1
105,17.8324,43.2858,128.8,2.66332,3,1
106,17.7932,43.3525,128.8,2.65143,3,1
107,17.8226,43.2525,1.84,2.66332,3,1
108,17.8324,43.4191,1.84,2.66332,3,1
109,17.8324,43.3858,1.84,2.66332,3,1
110,17.8128,43.5855,1.84,2.65143,3,1
111,17.8128,43.519,1.84,2.66332,3,1
112,17.754,43.519,1.84,2.65143,3,1
113,17.705,43.4857,1.84,2.65143,3,1
114,17.705,43.4524,1.84,2.65143,3,1
115,17.6854,43.3525,1.84,2.65143,3,1
116,17.656,43.4191,1.84,2.65143,3,1
117,17.6168,43.4524,1.84,2.65143,3,1
118,17.6168,43.4524,1.84,2.65143,3,1
119,17.6266,43.5522,1.84,2.65143,3,1
120,17.6168,43.4524,1.84,2.66332,4,1
121,1.731,-3.91901,323.84,2.01329,4,1
122,1.731,-3.91901,323.84,2.00649,4,1
123,1.731,-3.91901,323.84,2.01329,4,1
124,1.731,-3.91901,323.84,2.01329,4,1
125,1.731,-3.91901,323.84,2.01329,4,1
126,1.731,-3.91901,323.84,2.01329,4,1
127,1.731,-3.91901,323.84,2.01329,4,1
128,1.731,-3.91901,323.84,2.01329,4,1
129,1.731,-3.91901,309.12,2.01329,4,1
130,1.731,-3.91901,309.12,2.01329,4,1
131,1.731,-3.91901,309.12,2.01329,4,1
132,1.731,-3.91901,309.12,2.01329,4,1
133,1.731,-4,309.12,2.01329,4,1
134,1.731,-4,309.12,2.01329,4,1
135,1.731,-4,309.12,2.01329,4,1
136,1.731,-4,309.12,2.01329,4,1
137,1.731,-4,309.12,2.01329,4,1
138,1.731,-4,309.12,2.01329,4,1
139,1.731,-4,309.12,2.01329,4,1
140,1.731,-4,309.12,2.01329,4,1
141,1.731,-4,309.12,2.01329,4,1
142,1.731,-4,309.12,2.01329,4,1
143,1.731,-3.91901,309.12,2.01329,4,1
144,122.153,-3.91901,79.12,2.23278,4,1
145,19.7336,37.0933,71.76,2.69964,4,1
146,122.153,-3.91901,90.16,2.16759,4,1
147,122.153,-3.91901,53.36,2.04096,4,1
148,122.153,-3.91901,0.46,2.048,4,1
149,122.153,-3.91901,12.88,2.048,4,1
150,122.153,-3.91901,90.16,2.16759,5,1
151,19.1946,38.258,71.76,2.68742,5,1
152,19.1358,38.3263,71.76,2.68742,5,1
153,19.0966,38.4287,71.76,2.68742,5,1
154,19.0672,38.5652,71.76,2.68742,5,1
155,122.153,-3.91901,90.16,2.15971,5,1
156,19.0182,38.6675,71.76,2.68742,5,1
157,19.0084,38.6675,71.76,2.68742,5,1
158,18.9888,38.7016,71.76,2.68742,5,1
159,122.153,-3.91901,90.16,2.16759,5,1
160,122.153,-3.91901,86.48,2.04096,5,1
161,122.153,-3.91901,90.16,2.15971,5,1
162,122.153,-3.91901,90.16,2.16759,5,1
163,122.153,-3.91901,90.16,2.16759,5,1
164,122.153,-3.91901,90.16,2.16759,5,1
165,18.8712,38.872,71.76,2.68742,5,1
166,18.9006,38.9061,71.76,2.68742,5,1
167,122.153,-3.91901,97.52,2.08393,5,1
168,20.1354,37.162,79.12,2.71196,5,1
169,121.997,-3.91901,0.46,1.99973,5,1
170,122.153,4.38152,0.46,2.02703,5,1
171,122.153,7.12048,0.46,2.02014,5,1
172,20.0276,37.4708,79.12,2.69964,5,1
173,122.153,-3.91901,97.52,2.08393,5,1
174,19.7434,38.1897,79.12,2.69964,5,1
175,19.5964,38.5993,79.12,2.68742,5,1
176,19.518,38.8039,79.12,2.69964,5,1
177,19.4592,38.9401,79.12,2.69964,5,1
178,19.4396,39.0422,79.12,2.69964,5,1
179,19.4102,39.5521,79.12,2.69964,5,1
180,19.3612,39.4842,79.12,2.69964,6,1
181,19.3612,39.2803,79.12,2.69964,6,1
182,19.3612,39.2463,79.12,2.69964,6,1
183,19.3318,39.2803,79.12,2.69964,6,1
184,19.273,39.3823,79.12,2.69964,6,1
185,19.1946,39.62,75.44,2.69964,6,1
186,19.1652,39.8235,79.12,2.69964,6,1
187,19.175,39.7217,79.12,2.69964,6,1
188,18.5576,39.4842,79.12,2.68742,6,1
189,18.5478,39.4502,79.12,2.68742,6,1
190,18.5478,39.4162,79.12,2.68742,6,1
191,18.538,39.4502,79.12,2.68742,6,1
192,18.5282,39.4162,79.12,2.68742,6,1
193,18.5184,39.3483,79.12,2.69964,6,1
194,18.5282,39.3823,79.12,2.68742,6,1
195,18.5184,39.3823,79.12,2.68742,6,1
196,18.5282,39.4162,79.12,2.68742,6,1
197,18.5184,39.4162,79.12,2.68742,6,1
198,18.5086,39.3823,79.12,2.68742,6,1
199,18.5184,39.3823,79.12,2.68742,6,1
